technicianid,name,phonenumber,email,skills,experience,certifications,address,location,ratingsreceived
138,Mursita Rahimah,+6289388842207,mursitarahimah@gmail.com,"Refrigerator Maintenance, Electrical Installation",3,Sertifikasi Profesi Teknik Pendingin,Gang Siliwangi No. 558,Yogyakarta,3.8
139,Elvina Catur Marbun,+62865406574881,elvinamarbun@gmail.com,"AC Repair, Plumbing Repair",1,,Jl. Kutai No. 673,Serang,4.6
140,Yono Kawaya Hutasoit,+62811375922825,yonohutasoit@gmail.com,"Computer Installation, Electrical Maintenance",11,Sertifikasi K3 Teknisi Listrik,Jalan Cikapayang No. 53,Tangerang Selatan,5.0
141,Himawan Endah Hastuti,+62864840602976,himawanhastuti@gmail.com,"Electrical Installation, AC Repair",1,Sertifikasi Profesi Teknik Pendingin dan Tata Udara,Gg. Dipatiukur No. 5,Pekalongan,4.5
142,Asman Purnawati,+62892139541220,asmanpurnawati@gmail.com,"Electrical Repair, Plumbing Maintenance",1,SKA Ahli Teknik Plambing dan Pompa Mekanika,Gang Sentot Alibasa No. 379,Ternate,4.8
143,Maman Wulan Puspasari,+62867963332725,mamanpuspasari@gmail.com,"Plumbing Maintenance, Computer Repair",1,,Jalan Ciwastra No. 138,Balikpapan,3.8
144,Wadi Situmorang,+62899925821255,wadisitumorang@gmail.com,"Computer Maintenance, Plumbing Maintenance",1,,Jl. Sukajadi No. 660,Kupang,4.3
145,Indra Marbun,+6284408102828,indramarbun@gmail.com,"Washing Machine Maintenance, Plumbing Maintenance",2,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Jl. Pasir Koja No. 462,Kediri,3.7
146,Cahyo Permadi,+6286688329266,cahyopermadi@gmail.com,"Plumbing Maintenance, Electrical Installation",10,Sertifikasi K3 Teknisi Listrik,Jalan Cihampelas No. 89,Kotamobagu,4.4
147,Ani Gambira Kusmawati,+6284618043022,anikusmawati@gmail.com,"Computer Installation, Plumbing Installation",3,SKA Ahli Teknik Plambing dan Pompa Mekanika,Jalan H.J Maemunah No. 268,Dumai,4.2
148,Marsudi Azalea Putra,+6283247570834,marsudiputra@gmail.com,"AC Installation, Plumbing Repair",5,,Gg. Kendalsari No. 198,Padangpanjang,4.1
149,Jamalia Latupono,+6282493677795,jamalialatupono@gmail.com,"Washing Machine Installation, Electrical Installation",3,,Jalan Asia Afrika No. 865,Blitar,3.7
150,Dagel Malik Pradipta,+6284304229214,dagelpradipta@gmail.com,"Computer Repair, Refrigerator Installation",2,"Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior, Sertifikasi Teknisi Refrigerasi",Gg. Abdul Muis No. 78,Metro,4.1
151,Yessi Wisnu Rahayu,+6283944220932,yessirahayu@gmail.com,"Electrical Repair, Plumbing Repair",4,"Sertifikasi K3 Teknisi Listrik, SKA Ahli Teknik Plambing dan Pompa Mekanika",Jalan Setiabudhi No. 8,Salatiga,4.1
152,Titin Padmi Ramadan,+6285092371195,titinramadan@gmail.com,"Washing Machine Installation, Computer Maintenance",5,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Jl. Sukajadi No. 6,Denpasar,4.0
153,Galih Usamah,+62892012666083,galihusamah@gmail.com,"Washing Machine Maintenance, Plumbing Installation",3,,Jalan Dipatiukur No. 00,Mojokerto,5.0
154,Bakidin Luwar Maryati,+6287708850459,bakidinmaryati@gmail.com,"Refrigerator Repair, Plumbing Maintenance",5,,Gang Raya Setiabudhi No. 022,Pekanbaru,4.8
155,Nugraha Mustofa,+6288186958566,nugrahamustofa@gmail.com,"Computer Repair, Plumbing Installation",3,SKA Ahli Teknik Plambing dan Pompa Mekanika,Jl. Ir. H. Djuanda No. 32,Bitung,3.9
156,Hesti Wacana,+6283028911093,hestiwacana@gmail.com,"Washing Machine Repair, AC Maintenance",5,,Gang Astana Anyar No. 451,Samarinda,4.7
157,Jelita Nyoman Prakasa,+62816672111372,jelitaprakasa@gmail.com,"Refrigerator Installation, Plumbing Maintenance",6,Sertifikasi Teknisi Refrigerasi,Gg. Bangka Raya No. 4,Surabaya,4.4
158,Gilang Kariman Mayasari,+6287762757457,gilangmayasari@gmail.com,"Refrigerator Maintenance, Plumbing Installation",4,,Jl. Sukajadi No. 01,Padangpanjang,4.4
159,Natalia Latupono,+6284572539469,natalialatupono@gmail.com,"Washing Machine Maintenance, AC Installation",10,,Gang Gedebage Selatan No. 4,Cirebon,4.8
160,Kemal Yoga Putra,+62832085394903,kemalputra@gmail.com,"Plumbing Repair, Electrical Repair",5,,Gg. Rumah Sakit No. 6,Sibolga,3.8
161,Endra Purnawati,+6284294600321,endrapurnawati@gmail.com,"Electrical Installation, Computer Repair",5,"Sertifikasi K3 Teknisi Listrik, Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior",Gang Ahmad Dahlan No. 8,Banjarbaru,3.7
162,Balangga Usada,+62848628517608,balanggausada@gmail.com,"Electrical Installation, AC Repair",3,Sertifikasi K3 Teknisi Listrik,Jalan Raya Ujungberung No. 42,Solok,4.6
163,Hari Hariyah,+62848654032176,harihariyah@gmail.com,"Washing Machine Maintenance, Refrigerator Maintenance",4,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Jl. Dipenogoro No. 28,Mataram,3.7
164,Puput Widiastuti,+6287650778988,puputwidiastuti@gmail.com,"Refrigerator Maintenance, Electrical Maintenance",4,Sertifikasi K3 Teknisi Listrik,Jalan Suniaraja No. 61,Kota Administrasi Jakarta Pusat,4.3
165,Kenes Cici Yolanda,+62858159640806,kenesyolanda@gmail.com,"AC Installation, Plumbing Maintenance",5,,Jalan Setiabudhi No. 1,Sawahlunto,4.0
166,Prasetyo Timbul Wijayanti,+62869022752427,prasetyowijayanti@gmail.com,"Electrical Maintenance, Refrigerator Maintenance",2,"Sertifikasi K3 Teknisi Listrik, Sertifikasi Profesi Teknik Pendingin",Jl. Tebet Barat Dalam No. 703,Bukittinggi,4.2
167,Luluh Dirja Anggraini,+6286901473576,luluhanggraini@gmail.com,"Electrical Maintenance, Washing Machine Installation",3,,Jl. Rawamangun No. 910,Mojokerto,4.7
168,Kasiran Anggriawan,+62844181846816,kasirananggriawan@gmail.com,"Plumbing Repair, Computer Maintenance",5,SKA Ahli Teknik Plambing dan Pompa Mekanika,Jalan Surapati No. 62,Bitung,4.2
169,Lurhur Cakrawala Agustina,+62894563909260,lurhuragustina@gmail.com,"Computer Repair, Washing Machine Maintenance",7,,Gang Soekarno Hatta No. 79,Tasikmalaya,4.9
170,Puput Utama,+6282946848053,pupututama@gmail.com,"Electrical Installation, Plumbing Installation",5,Sertifikat Kompetensi BNSP Teknisi Plumbing & Drainase,Jalan Erlangga No. 2,Kotamobagu,4.2
171,Atma Gunarto,+6281409999582,atmagunarto@gmail.com,"Washing Machine Repair, Plumbing Maintenance",1,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Jalan Sukabumi No. 5,Pariaman,4.3
172,Maman Maheswara,+6284254393824,mamanmaheswara@gmail.com,"AC Installation, Refrigerator Repair",11,"Sertifikasi Teknisi Refrigerasi dan Tata Udara, Sertifikasi Profesi Teknik Pendingin",Jalan Jamika No. 302,Sorong,3.7
173,Oskar Saragih,+62856214968565,oskarsaragih@gmail.com,"AC Repair, Refrigerator Repair",5,Sertifikasi Profesi Teknik Pendingin,Jl. Moch. Toha No. 508,Tangerang Selatan,4.1
174,Eka Hairyanto Sitorus,+62838972635129,ekasitorus@gmail.com,"AC Installation, Washing Machine Repair",1,,Gg. M.T Haryono No. 70,Serang,3.9
175,Lurhur Tari Wijaya,+62878747721933,lurhurwijaya@gmail.com,"AC Repair, Refrigerator Maintenance",10,Sertifikasi Teknisi Refrigerasi dan Tata Udara,Gg. Cikutra Timur No. 98,Yogyakarta,4.5
176,Manah Raisa Uwais,+6282856699419,manahuwais@gmail.com,"Refrigerator Maintenance, AC Repair",5,Sertifikasi Profesi Teknik Pendingin,Gg. Rajawali Timur No. 582,Padang Sidempuan,4.7
177,Teddy Ajeng Dabukke,+62867636852827,teddydabukke@gmail.com,"Computer Repair, Refrigerator Repair",5,"Sertifikat Kompetensi BNSP Teknisi Komputer Muda, Sertifikasi Teknisi Refrigerasi",Gg. Gegerkalong Hilir No. 7,Depok,4.9
178,Puti Dariati Waluyo,+62868600838808,putiwaluyo@gmail.com,"Plumbing Repair, AC Repair",4,,Gg. Rungkut Industri No. 7,Tarakan,4.7
179,Hasim Santoso,+62899519496261,hasimsantoso@gmail.com,"Refrigerator Installation, Computer Maintenance",14,Sertifikat Kompetensi BNSP Teknisi Komputer Muda,Jl. Rajiman No. 587,Tanjungbalai,4.9
180,Erik Satya Astuti,+6289463364748,erikastuti@gmail.com,"Refrigerator Maintenance, Computer Maintenance",1,,Gang Rajiman No. 55,Banjarmasin,4.7
181,Kanda Purnawati,+6286558414448,kandapurnawati@gmail.com,"Computer Repair, Washing Machine Repair",2,Sertifikat Kompetensi BNSP Teknisi Komputer Muda,Jl. Raya Setiabudhi No. 5,Bandar Lampung,5.0
182,Irsad Hariyah,+62833529087497,irsadhariyah@gmail.com,"Computer Maintenance, Refrigerator Repair",5,Sertifikasi Profesi Teknik Pendingin,Gg. Bangka Raya No. 3,Tarakan,4.5
183,Calista Hidayat,+62830041777484,calistahidayat@gmail.com,"Washing Machine Installation, Plumbing Installation",1,,Jl. Kutisari Selatan No. 278,Ambon,3.9
184,Kunthara Cahyono Permadi,+6285927266714,kuntharapermadi@gmail.com,"AC Installation, Washing Machine Maintenance",8,Sertifikasi Profesi Teknik Pendingin dan Tata Udara,Gg. Dr. Djunjunan No. 32,Purwokerto,4.7
185,Cakrajiya Rahayu,+6288500909402,cakrajiyarahayu@gmail.com,"Washing Machine Maintenance, Computer Maintenance",4,,Jalan Ir. H. Djuanda No. 238,Tangerang Selatan,4.7
186,Wisnu Nugraha Irawan,+6284311165480,wisnuirawan@gmail.com,"Plumbing Repair, Computer Repair",14,SKA Ahli Teknik Plambing dan Pompa Mekanika,Jl. Abdul Muis No. 15,Surakarta,5.0
187,Galang Jelita Hutapea,+62819048172462,galanghutapea@gmail.com,"Computer Maintenance, Electrical Repair",3,,Gg. Cihampelas No. 7,Semarang,3.5
188,Hardi Aisyah Rahayu,+6284947338669,hardirahayu@gmail.com,"Plumbing Repair, Computer Installation",1,,Gang Dipenogoro No. 4,Kota Administrasi Jakarta Selatan,4.0
189,Tasdik Estiono Firgantoro,+62895386590347,tasdikfirgantoro@gmail.com,"Plumbing Maintenance, Refrigerator Installation",4,SKA Ahli Teknik Plambing dan Pompa Mekanika,Gang Rungkut Industri No. 2,Magelang,4.4
190,Ivan Mandala,+6281075047343,ivanmandala@gmail.com,"Washing Machine Maintenance, Refrigerator Repair",5,Sertifikasi Teknisi Refrigerasi,Gg. S. Parman No. 02,Prabumulih,3.7
191,Michelle Usamah,+62892504994488,michelleusamah@gmail.com,"Washing Machine Repair, Electrical Maintenance",9,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Gang Lembong No. 5,Surakarta,4.1
192,Puji Farida,+6283103215613,pujifarida@gmail.com,"AC Installation, Computer Repair",5,,Gang Jayawijaya No. 9,Pangkalpinang,4.5
193,Maryanto Ikhsan Aryani,+6289788086645,maryantoaryani@gmail.com,"Electrical Repair, Plumbing Installation",2,Sertifikasi K3 Teknisi Listrik,Jl. Peta No. 998,Binjai,3.9
194,Jaeman Habibi,+62843209204971,jaemanhabibi@gmail.com,"Electrical Maintenance, Refrigerator Installation",2,,Jl. Gegerkalong Hilir No. 2,Malang,4.7
195,Gada Dinda Andriani,+62849071230335,gadaandriani@gmail.com,"Computer Installation, Electrical Installation",1,Sertifikasi K3 Teknisi Listrik,Jl. Kutisari Selatan No. 6,Tasikmalaya,4.3
196,Syahrini Nugroho,+62821886176338,syahrininugroho@gmail.com,"Electrical Repair, AC Maintenance",3,,Gg. Merdeka No. 135,Lubuklinggau,4.5
197,Putri Jagapati Widiastuti,+6283467896345,putriwidiastuti@gmail.com,"Plumbing Installation, Electrical Installation",4,Sertifikat Kompetensi BNSP Teknisi Plumbing & Drainase,Gg. Jamika No. 71,Tidore Kepulauan,4.8
198,Pranawa Gara Kuswoyo,+62878690719293,pranawakuswoyo@gmail.com,"Computer Installation, Washing Machine Repair",4,,Gg. Cempaka No. 5,Binjai,4.3
199,Niyaga Ayu Maulana,+6289018566866,niyagamaulana@gmail.com,"Plumbing Installation, Refrigerator Maintenance",5,SKA Ahli Teknik Plambing dan Pompa Mekanika,Gg. Dipatiukur No. 429,Kupang,4.2
200,Garda Dongoran,+62821923651985,gardadongoran@gmail.com,"Washing Machine Maintenance, Plumbing Repair",9,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Jalan Indragiri No. 903,Banjarmasin,3.7
